source,jurisdiction,year,list_type,category,item,item_en,ref,sector_map,url
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Resilient energy supplies,Resilient energy supplies,Resilience & civil preparedness topic page,energy,https://www.nato.int/cps/en/natohq/topics_132722.htm
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Ability to deal effectively with uncontrolled movement of people,Ability to deal effectively with uncontrolled movement of people,Resilience & civil preparedness topic page,government_admin;defense_public_safety,https://www.nato.int/cps/en/natohq/topics_132722.htm
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Resilient food and water resources,Resilient food and water resources,Resilience & civil preparedness topic page,food_agriculture;water,https://www.nato.int/cps/en/natohq/topics_132722.htm
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Ability to deal with mass casualties and disruptive health crises,Ability to deal with mass casualties and disruptive health crises,Resilience & civil preparedness topic page,health_social_care,https://www.nato.int/cps/en/natohq/topics_132722.htm
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Resilient civil communications systems,Resilient civil communications systems,Resilience & civil preparedness topic page,communications_it,https://www.nato.int/cps/en/natohq/topics_132722.htm
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Resilient transport systems,Resilient transport systems,Resilience & civil preparedness topic page,transport_logistics,https://www.nato.int/cps/en/natohq/topics_132722.htm
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,Leadership,Leadership,Security Committee vital-functions page,government_admin,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,International and EU activities,International and EU activities,Security Committee vital-functions page,government_admin,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,Defence capability,Defence capability,Security Committee vital-functions page,defense_public_safety,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,Internal security,Internal security,Security Committee vital-functions page,defense_public_safety,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,"Economy, infrastructure and security of supply","Economy, infrastructure and security of supply",Security Committee vital-functions page,energy;food_agriculture;transport_logistics;finance_insurance,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,Functional capacity of the population and services,Functional capacity of the population and services,Security Committee vital-functions page,health_social_care;government_admin,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
Finland Security Strategy for Society — vital functions,FI,2017,essential_services,vital function of society,Psychological resilience,Psychological resilience,Security Committee vital-functions page,media_arts_culture;education_research,https://turvallisuuskomitea.fi/en/security-strategy-for-society/vital-functions/
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,International terrorist attack,International terrorist attack,NRR 2025 p.29,defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Northern Ireland related terrorism,Northern Ireland related terrorism,NRR 2025 p.30,defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Terrorist attacks in venues and public spaces: explosive devices,Terrorist attacks in venues and public spaces: explosive devices,NRR 2025 p.31,defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Terrorist attacks in venues and public spaces: marauding attacks,Terrorist attacks in venues and public spaces: marauding attacks,NRR 2025 p.32,defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Malicious maritime incident,Malicious maritime incident,NRR 2025 p.33,transport_logistics;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Malicious rail incident,Malicious rail incident,NRR 2025 p.34,transport_logistics;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Malicious aviation incident,Malicious aviation incident,NRR 2025 p.35,transport_logistics;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Strategic hostage taking,Strategic hostage taking,NRR 2025 p.36,defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Assassination of a high-profile public figure,Assassination of a high-profile public figure,NRR 2025 p.38,defense_public_safety;government_admin,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,"Chemical, Biological, Radiological and Nuclear (CBRN) attacks","Chemical, Biological, Radiological and Nuclear (CBRN) attacks",NRR 2025 p.40,defense_public_safety;health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Conventional attack: gas infrastructure,Conventional attack: gas infrastructure,NRR 2025 p.42,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Cyber attack: gas infrastructure,Cyber attack: gas infrastructure,NRR 2025 p.43,energy;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Conventional attack: electricity infrastructure,Conventional attack: electricity infrastructure,NRR 2025 p.44,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Cyber attack: electricity infrastructure,Cyber attack: electricity infrastructure,NRR 2025 p.45,energy;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Conventional attack: civil nuclear,Conventional attack: civil nuclear,NRR 2025 p.46,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Cyber attack: civil nuclear,Cyber attack: civil nuclear,NRR 2025 p.47,energy;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Conventional attack: fuel supply infrastructure,Conventional attack: fuel supply infrastructure,NRR 2025 p.48,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Cyber attack: fuel supply infrastructure,Cyber attack: fuel supply infrastructure,NRR 2025 p.49,energy;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Terrorism,Attack on government,Attack on government,NRR 2025 p.50,government_admin,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Cyber,Cyber attack: health and social care system,Cyber attack: health and social care system,NRR 2025 p.52,health_social_care;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Cyber,Cyber attack: transport sector,Cyber attack: transport sector,NRR 2025 p.54,transport_logistics;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Cyber,Cyber attack: telecommunications systems,Cyber attack: telecommunications systems,NRR 2025 p.55,communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,State threats,Malicious attacks: UK financial CNI,Malicious attacks: UK financial CNI,NRR 2025 p.58,finance_insurance,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,State threats,Cyber attack: UK retail bank,Cyber attack: UK retail bank,NRR 2025 p.59,finance_insurance;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,State threats,Total loss of transatlantic telecommunications cables,Total loss of transatlantic telecommunications cables,NRR 2025 p.60,communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Geographic and diplomatic risks,Disruption of Russian gas supplies to Europe,Disruption of Russian gas supplies to Europe,NRR 2025 p.62,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Geographic and diplomatic risks,Disruption to global oil trade routes,Disruption to global oil trade routes,NRR 2025 p.63,energy;transport_logistics,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Major adult social care provider failure,Major adult social care provider failure,NRR 2025 p.65,health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Insolvency of supplier(s) of critical services to the public sector,Insolvency of supplier(s) of critical services to the public sector,NRR 2025 p.67,government_admin;professional_business,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Insolvency affecting fuel supply,Insolvency affecting fuel supply,NRR 2025 p.69,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Rail accident,Rail accident,NRR 2025 p.71,transport_logistics,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Large passenger vessel accident,Large passenger vessel accident,NRR 2025 p.73,transport_logistics,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Major maritime pollution incident,Major maritime pollution incident,NRR 2025 p.75,transport_logistics;water,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Incident (grounding/sinking) of a vessel blocking a major port,Incident (grounding/sinking) of a vessel blocking a major port,NRR 2025 p.77,transport_logistics;food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accident involving high-consequence dangerous goods,Accident involving high-consequence dangerous goods,NRR 2025 p.79,transport_logistics;manufacturing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Aviation collision,Aviation collision,NRR 2025 p.81,transport_logistics,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Malicious drone incident,Malicious drone incident,NRR 2025 p.83,transport_logistics;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Disruption of space-based services,Disruption of space-based services,NRR 2025 p.84,communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,"Loss of Positioning, Navigation and Timing (PNT) services","Loss of Positioning, Navigation and Timing (PNT) services",NRR 2025 p.86,communications_it;transport_logistics,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Simultaneous loss of all fixed and mobile forms of communication,Simultaneous loss of all fixed and mobile forms of communication,NRR 2025 p.88,communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Failure of the National Electricity Transmission System (NETS),Failure of the National Electricity Transmission System (NETS),NRR 2025 p.90,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Regional failure of the electricity network,Regional failure of the electricity network,NRR 2025 p.92,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Failure of gas supply infrastructure,Failure of gas supply infrastructure,NRR 2025 p.94,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Civil nuclear accident,Civil nuclear accident,NRR 2025 p.96,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Radiation release from overseas nuclear site,Radiation release from overseas nuclear site,NRR 2025 p.98,energy;health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,"Radiation exposure from transported, stolen or lost goods","Radiation exposure from transported, stolen or lost goods",NRR 2025 p.100,health_social_care;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Technological failure at a systemically important retail bank,Technological failure at a systemically important retail bank,NRR 2025 p.102,finance_insurance,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Technological failure at a UK critical financial market infrastructure,Technological failure at a UK critical financial market infrastructure,NRR 2025 p.104,finance_insurance,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental fire or explosion at an onshore major hazard (COMAH) site,Accidental fire or explosion at an onshore major hazard (COMAH) site,NRR 2025 p.106,manufacturing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental large toxic chemical release from an onshore major hazard (COMAH) site,Accidental large toxic chemical release from an onshore major hazard (COMAH) site,NRR 2025 p.108,manufacturing;health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental fire or explosion on an offshore oil or gas installation,Accidental fire or explosion on an offshore oil or gas installation,NRR 2025 p.110,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental fire or explosion at an onshore fuel pipeline,Accidental fire or explosion at an onshore fuel pipeline,NRR 2025 p.112,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental fire or explosion at an onshore major accident hazard pipeline,Accidental fire or explosion at an onshore major accident hazard pipeline,NRR 2025 p.114,energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Accidental work-related (laboratory) release of a hazardous pathogen,Accidental work-related (laboratory) release of a hazardous pathogen,NRR 2025 p.116,health_social_care;education_research,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Reservoir/dam collapse,Reservoir/dam collapse,NRR 2025 p.118,water;energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Water infrastructure failure or loss of drinking water,Water infrastructure failure or loss of drinking water,NRR 2025 p.120,water,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Food supply contamination,Food supply contamination,NRR 2025 p.122,food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Accidents and systems failures,Major fire,Major fire,NRR 2025 p.124,defense_public_safety;construction_housing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Wildfire,Wildfire,NRR 2025 p.127,defense_public_safety;food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Volcanic eruption,Volcanic eruption,NRR 2025 p.129,cross_cutting,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Earthquake,Earthquake,NRR 2025 p.131,cross_cutting,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Humanitarian crisis overseas: natural hazard event,Humanitarian crisis overseas: natural hazard event,NRR 2025 p.133,government_admin,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Disaster response in Overseas Territories,Disaster response in Overseas Territories,NRR 2025 p.135,government_admin;defense_public_safety,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Severe space weather,Severe space weather,NRR 2025 p.137,energy;communications_it,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Storms,Storms,NRR 2025 p.139,energy;construction_housing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,High temperatures and heatwaves,High temperatures and heatwaves,NRR 2025 p.141,health_social_care;water;energy,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Low temperatures and snow,Low temperatures and snow,NRR 2025 p.143,energy;transport_logistics;health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Coastal flooding,Coastal flooding,NRR 2025 p.145,water;construction_housing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Fluvial flooding,Fluvial flooding,NRR 2025 p.147,water;construction_housing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Surface water flooding,Surface water flooding,NRR 2025 p.149,water;construction_housing,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Drought,Drought,NRR 2025 p.151,water;food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,Natural and environmental hazards,Poor air quality,Poor air quality,NRR 2025 p.153,health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,"Human, animal and plant health",Pandemic,Pandemic,NRR 2025 p.156,health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,"Human, animal and plant health",Outbreak of an emerging infectious disease,Outbreak of an emerging infectious disease,NRR 2025 p.158,health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,"Human, animal and plant health",Animal disease: major outbreak of foot and mouth disease,Animal disease: major outbreak of foot and mouth disease,NRR 2025 p.160,food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,"Human, animal and plant health",Animal disease: major outbreak of highly pathogenic avian influenza,Animal disease: major outbreak of highly pathogenic avian influenza,NRR 2025 p.162,food_agriculture;health_social_care,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
UK National Risk Register 2025,UK,2025,risk_register,"Human, animal and plant health",Animal disease: major outbreak of African horse sickness,Animal disease: major outbreak of African horse sickness,NRR 2025 p.164,food_agriculture,https://assets.publishing.service.gov.uk/media/67b5f85732b2aab18314bbe4/National_Risk_Register_2025.pdf
