year,social_security_b,social_security_central_wage_exposure,social_security_funding_status,medicare_b,medicare_central_wage_exposure,medicare_funding_status,medicaid_b,medicaid_central_wage_exposure,ui_b,ui_wage_exposure,other_transfers_b,other_central_wage_exposure
2010,690.174,0.9837051792828685,observed_anchor,513.39,0.71519,observed_anchor,396.868,0.51,138.857,1.0,542.1220000000001,0.51
2011,713.261,0.9838324209009635,interpolated_between_anchors,535.609,0.7140040000000001,interpolated_between_anchors,406.022,0.51,107.163,1.0,548.0840000000001,0.51
2012,762.139,0.9839596625190586,interpolated_between_anchors,554.746,0.7128180000000001,interpolated_between_anchors,417.539,0.51,83.615,1.0,504.5469999999997,0.51
2013,799.044,0.9840869041371537,interpolated_between_anchors,572.843,0.711632,interpolated_between_anchors,439.983,0.51,62.499,1.0,511.541,0.51
2014,834.64,0.9842141457552487,interpolated_between_anchors,600.007,0.710446,interpolated_between_anchors,490.872,0.51,35.463,1.0,537.6430000000003,0.51
2015,871.793,0.9843413873733438,observed_anchor,634.939,0.70926,observed_anchor,535.913,0.51,32.545,1.0,559.9560000000001,0.51
2016,896.472,0.9843323691579341,interpolated_between_anchors,662.108,0.69981,observed_anchor,562.783,0.51,32.038,1.0,563.8810000000002,0.51
2017,926.072,0.9843233509425247,interpolated_between_anchors,691.829,0.70796,observed_anchor,573.731,0.51,30.186,1.0,585.6139999999998,0.51
2018,972.412,0.9843143327271154,interpolated_between_anchors,733.569,0.6999,observed_anchor,589.766,0.51,27.618,1.0,602.6080000000001,0.51
2019,1030.743,0.9843053145117058,interpolated_between_anchors,790.499,0.7033,observed_anchor,614.035,0.51,27.477,1.0,628.0060000000002,0.51
2020,1077.928,0.9842962962962963,observed_anchor,827.397,0.6910900000000001,observed_anchor,657.58,0.51,527.988,1.0,1096.6189999999997,0.51
2021,1114.6,0.9840705488962567,interpolated_between_anchors,886.27,0.69365,observed_anchor,736.482,0.51,314.92,1.0,1514.4390000000003,0.51
2022,1211.504,0.983844801496217,interpolated_between_anchors,942.43,0.70246,observed_anchor,814.348,0.51,23.796,1.0,1020.9200000000004,0.51
2023,1356.973,0.9836190540961772,interpolated_between_anchors,1024.835,0.7036800000000001,observed_anchor,878.171,0.51,33.305,1.0,857.2769999999998,0.51
2024,1447.965,0.9833933066961376,interpolated_between_anchors,1102.358,0.69831,observed_anchor,938.191,0.51,36.468,1.0,930.7129999999996,0.51
2025,1572.799,0.9831675592960979,observed_anchor,1221.275,0.68799,observed_anchor,1010.708,0.51,37.968,1.0,1002.3800000000002,0.51
