year,headline_tier,pce_b,dpi_b,dpi_tier,minimum_intertemporal_share_pce,current_labor_origin_share_pce_central,current_ownership_property_origin_share_pce_central,current_fiscal_nonlabor_unresolved_share_pce_central,identity_sum,labor_financing_capacity_lower_share_pce,labor_financing_capacity_upper_share_pce,source_allocation_rule,guardrail
1964,WEAK,410.632,476.124,STRONG_NIPA,0.0794430629814267,0.741603996145457,0.1684710119406664,0.01048192893244995,1.0,0.6664712505097394,0.9319173653732005,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1965,WEAK,442.973,512.995,STRONG_NIPA,0.07943202998275145,0.7406683441308507,0.16943486862620846,0.010464757260189425,1.0,0.6658461628394865,0.9319423484646651,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1966,WEAK,479.919,553.961,STRONG_NIPA,0.0787285655676313,0.7450923000672034,0.16545726178916992,0.010721872575995285,0.9999999999999999,0.6725485446394177,0.9327538545017264,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1967,WEAK,506.685,592.762,STRONG_NIPA,0.07632725961210628,0.7470160281288138,0.16391692571729521,0.012739786541784606,1.0,0.6703840441615554,0.9347997106403811,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1968,WEAK,556.852,643.928,STRONG_NIPA,0.07791895976921037,0.7481780763675464,0.16032451982331752,0.013578444039925695,1.0,0.6746465484222167,0.9336840448027126,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1969,WEAK,603.639,695.83,STRONG_NIPA,0.07960700630815858,0.7459558814826316,0.16032818823858683,0.014108923970623114,1.0000000000000002,0.6721345927869092,0.9321978880127888,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1970,WEAK,646.724,761.975,STRONG_NIPA,0.07076244172350732,0.74745886599208,0.1657756022956687,0.016003089988743904,0.9999999999999999,0.6686700215994569,0.9402536890943866,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1971,WEAK,699.937,831.08,STRONG_NIPA,0.07141661336581587,0.7445309762204673,0.16648617079354866,0.01756623962016827,1.0,0.6612236556975833,0.9391584204453933,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1972,WEAK,768.153,900.816,STRONG_NIPA,0.07639173327314712,0.7411333291614561,0.16465672917392563,0.017818208391471232,1.0,0.6593209794100356,0.9357393890595582,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1973,WEAK,849.575,1008.373,STRONG_NIPA,0.07242667127865818,0.7426916986441785,0.16718136805239375,0.01770026202476958,1.0,0.6580003216908353,0.9388362283811627,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1974,WEAK,930.161,1100.771,STRONG_NIPA,0.07243005755349788,0.7383872244483053,0.17005121908057205,0.019131498917624837,1.0000000000000002,0.6527279573840801,0.9397896339293331,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1975,WEAK,1030.547,1221.782,STRONG_NIPA,0.07070673634290628,0.7369883274974625,0.17057870944158798,0.021726226718043414,1.0000000000000002,0.6489564516884568,0.941187805303171,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1976,WEAK,1147.666,1329.976,STRONG_NIPA,0.07944544590968529,0.7329447463661849,0.16650349314829826,0.02110631457583162,1.0000000000000002,0.6497420419522696,0.9323906391163471,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1977,WEAK,1273.975,1461.357,STRONG_NIPA,0.08585484595886587,0.7277274508903315,0.1664537188100496,0.01996398434075299,1.0,0.6465530680391186,0.9251582044576552,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1978,WEAK,1422.252,1634.072,STRONG_NIPA,0.08678420230790972,0.7259842943079035,0.16792341498103353,0.019308088403153328,1.0,0.6442025407656868,0.9251930229931815,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1979,WEAK,1585.42,1813.796,STRONG_NIPA,0.08743977603276366,0.7244153386870235,0.16905792281080667,0.019086962469406266,1.0,0.6439893846743139,0.9240439609875089,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1980,WEAK,1750.667,2024.946,STRONG_NIPA,0.0795649105832292,0.7205572798705123,0.17946713067123077,0.020410678875027666,1.0,0.6371421572554299,0.9257654694397197,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1981,WEAK,1933.951,2257.42,STRONG_NIPA,0.07549156553217386,0.7122926034016857,0.19204665971391585,0.020169171352224676,1.0,0.6251992670386312,0.9191509432862585,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1982,WEAK,2071.256,2434.718,STRONG_NIPA,0.07284011072177578,0.7062428953627645,0.2010948446467862,0.01982214926867356,1.0,0.616818250334429,0.9144939227270105,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1983,WEAK,2281.605,2628.837,STRONG_NIPA,0.0830075229493748,0.6959255287511384,0.20115396948249334,0.019912978816993308,0.9999999999999998,0.6082062383767046,0.8934128315059958,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1984,WEAK,2492.34,2910.758,STRONG_NIPA,0.07969514259028768,0.6935168299959348,0.2076662540482436,0.019121773365534007,1.0,0.6016936117187811,0.8991318322481023,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1985,WEAK,2712.83,3105.08,STRONG_NIPA,0.09013737328717746,0.686303048908733,0.20484066485383443,0.018718912950255233,1.0,0.5978359687773979,0.8817840043698161,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1986,WEAK,2886.278,3293.387,STRONG_NIPA,0.08900170287626682,0.6891993435849018,0.20286231291235463,0.018936640626476844,1.0,0.6012411089894438,0.8817353438402362,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1987,WEAK,3076.279,3457.219,STRONG_NIPA,0.09375815586970027,0.6920637924501826,0.19533121033671033,0.01884684134340678,0.9999999999999999,0.6105003964890732,0.8766588707784645,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1988,WEAK,3330.012,3774.082,STRONG_NIPA,0.09026362791909308,0.691631100021705,0.19926858425309701,0.018836687806104892,1.0,0.6074352711443305,0.8803404703775359,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1989,WEAK,3576.758,4053.277,STRONG_NIPA,0.09112063002293078,0.6830134384825955,0.20638905219889378,0.01947687929557989,1.0,0.597679147680213,0.8706122239220759,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1990,WEAK,3808.994,4318.635,STRONG_NIPA,0.08794598944990673,0.6865081520522206,0.20482839752367038,0.020717460974202413,1.0,0.6002679332331904,0.8731228395997015,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1991,WEAK,3943.449,4501.012,STRONG_NIPA,0.08523733052030921,0.6906727304847922,0.20069253087713984,0.023397408117758804,1.0,0.6031309099824301,0.8833549877526721,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1992,WEAK,4197.559,4804.692,STRONG_NIPA,0.08349598716896736,0.6973740100387984,0.19389261510019437,0.025237387692039932,1.0000000000000002,0.6096172674510778,0.8941519471341639,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1993,WEAK,4451.984,5004.111,STRONG_NIPA,0.09095218045773831,0.691345522669806,0.1917333157136457,0.02596898115881007,1.0,0.6052938819922749,0.8783516510676838,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1994,WEAK,4720.965,5247.849,STRONG_NIPA,0.09624632786922796,0.6851011305742797,0.19253357777652488,0.026118963779967568,1.0000000000000002,0.6012146234530206,0.8661564186517963,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1995,WEAK,4962.59,5534.953,STRONG_NIPA,0.09524845285587911,0.6811326671817933,0.19717246766157903,0.02644641230074828,0.9999999999999998,0.59515475657072,0.8633953800659865,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1996,WEAK,5244.596,5829.114,STRONG_NIPA,0.09713559009698673,0.677105752630163,0.19967163470122215,0.026087022571628208,1.0000000000000002,0.5909115483451894,0.8572151674491606,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1997,WEAK,5536.79,6142.153,STRONG_NIPA,0.09822212861776039,0.6764370577697629,0.2002187868865919,0.025122026725884792,1.0,0.5898716628399208,0.855087449992615,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1998,WEAK,5877.248,6555.937,STRONG_NIPA,0.09739082611279075,0.6765496872921576,0.20193729282449932,0.024122193770552452,1.0000000000000002,0.5900495585889628,0.8585120786267928,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1999,WEAK,6283.758,6866.685,STRONG_NIPA,0.10938787594419368,0.674379647214602,0.19248958913603675,0.023742887705167786,1.0000000000000002,0.585750889974857,0.8494764039477639,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2000,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,6767.179,7384.97,STRONG_NIPA,0.11457090461476617,0.6700036865009494,0.19235192502275528,0.023073483861529045,1.0,0.5985963249629758,0.847345985876234,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2001,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,7073.801,7754.096,STRONG_NIPA,0.13128105120303088,0.6572865419257037,0.1871888801653829,0.02424352670588237,0.9999999999999999,0.5791314263677763,0.8524480036231895,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2002,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,7348.941,8097.871,STRONG_NIPA,0.11059311738411609,0.6770823585679877,0.18542125277846266,0.026903271269433378,0.9999999999999998,0.6018818816293194,0.8636287585605988,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2003,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,7740.749,8478.217,STRONG_NIPA,0.13451046345638343,0.6582303147723356,0.17992841716610194,0.027330804605178966,1.0,0.5781464699423119,0.8583645637246516,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2004,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,8231.96,8967.128,STRONG_NIPA,0.09922558540128962,0.6842103826281288,0.1868190160979189,0.02974501587266261,1.0,0.6130624346992974,0.8535756588651123,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2005,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,8769.066,9333.646,STRONG_NIPA,0.11305311743790097,0.6736444552658615,0.1832911961532724,0.030011231142965156,1.0,0.6053570033719567,0.8343680995592699,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2006,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,9277.236,9945.033,STRONG_NIPA,0.11713497117677235,0.6632826409821795,0.1900251949907162,0.029557192850331808,0.9999999999999998,0.5908019293274808,0.831146832385674,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2007,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,9746.594,10439.63,STRONG_NIPA,0.10769985400021961,0.6659675833076913,0.19573796265206153,0.03059460004002762,1.0000000000000002,0.5952860879648525,0.8250926585708841,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2008,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,10050.083,10918.179,STRONG_NIPA,0.1047081635171063,0.6618131100982183,0.19842785153862164,0.03505087484605373,1.0,0.5836411975690735,0.8318094952676214,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2009,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,9891.218,10913.304,STRONG_NIPA,0.08284052523348989,0.6872784586538565,0.19125001443020404,0.0386310016824495,1.0,0.6100395896371466,0.8578031038871611,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2010,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,10260.256,11319.008,STRONG_NIPA,0.08179553831969168,0.6848196769483219,0.19137019490410795,0.04201458982787852,1.0000000000000002,0.6044950741331614,0.8565712584241628,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2011,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,10698.857,11855.88,STRONG_NIPA,0.09463374755230707,0.6657161068255906,0.19927711481763297,0.04037303080446942,1.0,0.5792212009946657,0.8481062722593433,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2012,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,11047.363,12408.28,STRONG_NIPA,0.09042747821427184,0.6630790308060184,0.2082553247702488,0.03823816620946089,0.9999999999999999,0.5736622179518823,0.8507767409249678,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2013,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,11388.233,12391.235,STRONG_NIPA,0.09315413106338738,0.6670690400298465,0.20118013167155485,0.038596697235211384,1.0000000000000002,0.5883267612249579,0.8316378052401568,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2014,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,11874.45,12998.394,STRONG_NIPA,0.0993285187945547,0.6580474945953381,0.2034752181931314,0.0391487684169757,0.9999999999999999,0.5744740853577126,0.8315389854642428,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2015,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,12297.438,13532.854,STRONG_NIPA,0.09021257368409498,0.6640505792470227,0.20550994500644587,0.04022690206243636,0.9999999999999999,0.5809448748050097,0.8352832954356135,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2016,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,12726.849,13928.899,STRONG_NIPA,0.09074778126559206,0.6633408906692476,0.2051619705986065,0.040749357466553816,1.0,0.5815886777585801,0.8305771393617842,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2017,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,13290.626,14613.927,STRONG_NIPA,0.09577517995760922,0.6564557056323188,0.20816254411895654,0.03960657029111551,1.0,0.5718466359907202,0.8298027608381512,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
2018,STRONG_TIMING_WEAK_SOURCE_ALLOCATION,13934.442,15454.039,STRONG_NIPA,0.09948763782398141,0.6520355508503989,0.20929788591829127,0.039178925407328556,1.0000000000000002,0.5634191903512417,0.8345563938923981,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
