year,labor_origin_financing_central,lower,upper,tier,note
1982,0.7062428953627645,0.616818250334429,0.9144939227270105,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1983,0.6959255287511384,0.6082062383767046,0.8934128315059958,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1984,0.6935168299959348,0.6016936117187811,0.8991318322481023,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1985,0.686303048908733,0.5978359687773979,0.8817840043698161,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1986,0.6891993435849018,0.6012411089894438,0.8817353438402362,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1987,0.6920637924501826,0.6105003964890732,0.8766588707784645,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1988,0.691631100021705,0.6074352711443305,0.8803404703775359,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1989,0.6830134384825955,0.597679147680213,0.8706122239220759,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1990,0.6865081520522206,0.6002679332331904,0.8731228395997015,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1991,0.6906727304847922,0.6031309099824301,0.8833549877526721,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1992,0.6973740100387984,0.6096172674510778,0.8941519471341639,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1993,0.691345522669806,0.6052938819922749,0.8783516510676838,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1994,0.6851011305742797,0.6012146234530206,0.8661564186517963,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1995,0.6811326671817933,0.59515475657072,0.8633953800659865,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1996,0.677105752630163,0.5909115483451894,0.8572151674491606,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1997,0.6764370577697629,0.5898716628399208,0.855087449992615,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1998,0.6765496872921576,0.5900495585889628,0.8585120786267928,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1999,0.674379647214602,0.585750889974857,0.8494764039477639,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2000,0.6700036865009494,0.5985963249629758,0.847345985876234,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2001,0.6572865419257037,0.5791314263677763,0.8524480036231895,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2002,0.6770823585679877,0.6018818816293194,0.8636287585605988,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2003,0.6582303147723356,0.5781464699423119,0.8583645637246516,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2004,0.6963829104648008,0.5981587436548602,0.8310330596834193,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2005,0.6875407166860984,0.5886784442841294,0.8214257193904445,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2006,0.6803642732024275,0.5691694733652652,0.8156560662596587,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2007,0.6832090117605464,0.5700806125150425,0.8241777759138241,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2008,0.6775020567609249,0.5605014123317376,0.8254541697219238,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2009,0.6990017811020521,0.6007380370922578,0.8317752733386429,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2010,0.6961591206333546,0.5958646005966682,0.8275010154084899,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2011,0.6823127663736147,0.5677311049544909,0.8206199771868254,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2012,0.6821315030896984,0.5586665121037504,0.8220034179031491,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2013,0.6815804165202269,0.5695768120788081,0.8189351718390084,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2014,0.674838350836795,0.5553965963585821,0.8099984177625439,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2015,0.6796571383070997,0.5584146415965522,0.822882620614434,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2016,0.6769487380708624,0.5596403449368719,0.822632603086013,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2017,0.671560558822047,0.5482889579379875,0.8163090907891285,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2018,0.6701094159705279,0.5416521262549846,0.8185769666670094,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2019,0.6745421391437232,0.5436219918305765,0.8202595216156986,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2020,0.6994566205489378,0.5562736592507163,0.8638903505852604,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2021,0.6836636315970832,0.5519790336675777,0.8428372054843016,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2022,0.6566728707487597,0.5234174307557511,0.8022359178734272,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2023,0.6581450230175633,0.5266029590438285,0.801122476433634,STRONG_ANNUAL_SOURCE_PROFILES__PARTIAL_ID,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2024,0.6474358264838743,0.5467842922317896,0.8232976358686408,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
2025,0.6415781842786906,0.5411629488681416,0.8132437310406414,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
