year,tier,minimum_intertemporal_share_pce_headline,weak_lower,weak_upper,note
1974,WEAK_ESTIMATE,0.07243005755349788,0.06021036607066685,0.08478260946890182,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1975,WEAK_ESTIMATE,0.07070673634290628,0.058812194696828995,0.08291225176077428,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1976,WEAK_ESTIMATE,0.07944544590968529,0.06760936088365291,0.09209874646655161,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1977,WEAK_ESTIMATE,0.08585484595886587,0.0748417955423449,0.09854855351007295,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1978,WEAK_ESTIMATE,0.08678420230790972,0.07480697700681843,0.09959459688365144,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1979,WEAK_ESTIMATE,0.08743977603276366,0.07595603901249118,0.1000007905183666,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1980,WEAK_ESTIMATE,0.0795649105832292,0.06775455052420734,0.09140872544460231,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1981,WEAK_ESTIMATE,0.07549156553217386,0.0623566976464046,0.08706072476131115,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1982,WEAK_ESTIMATE,0.07284011072177578,0.0603221372882216,0.08405767913525146,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1983,WEAK_ESTIMATE,0.0830075229493748,0.06863860842252396,0.09510542173469563,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1984,WEAK_ESTIMATE,0.07969514259028768,0.06563925601164108,0.09151626498569253,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1985,WEAK_ESTIMATE,0.09013737328717746,0.07512824355379995,0.10257014129411507,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1986,WEAK_ESTIMATE,0.08900170287626682,0.07251634616619274,0.10253609691186737,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1987,WEAK_ESTIMATE,0.09375815586970027,0.08031346267128514,0.10555123356647159,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1988,WEAK_ESTIMATE,0.09026362791909308,0.0763347850480361,0.10223472413174049,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1989,WEAK_ESTIMATE,0.09112063002293078,0.08044047938875346,0.10181126057003519,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1990,WEAK_ESTIMATE,0.08794598944990673,0.07482102890323834,0.09978593566477545,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1991,WEAK_ESTIMATE,0.08523733052030921,0.07450195643748608,0.09587920416073477,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1992,WEAK_ESTIMATE,0.08349598716896736,0.07327447086809309,0.0937352858861178,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1993,WEAK_ESTIMATE,0.09095218045773831,0.08020479935612725,0.10223532990070212,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1994,WEAK_ESTIMATE,0.09624632786922796,0.08558509508403399,0.10659431994700248,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1995,WEAK_ESTIMATE,0.09524845285587911,0.08468996583139685,0.10570412012445503,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1996,WEAK_ESTIMATE,0.09713559009698673,0.086425106604415,0.1077465179000013,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1997,WEAK_ESTIMATE,0.09822212861776039,0.08667845104102433,0.11021090725481371,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1998,WEAK_ESTIMATE,0.09739082611279075,0.08625632814661494,0.10841465532232823,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1999,WEAK_ESTIMATE,0.10938787594419368,0.0953246696988945,0.1271570647263807,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
2000,STRONG_HARD_LOWER_BOUND,0.11457090461476617,0.11457090461476617,0.11457090461476617,Assumption-free same-decile PCE>DPI lower bound.
2001,STRONG_HARD_LOWER_BOUND,0.13128105120303088,0.13128105120303088,0.13128105120303088,Assumption-free same-decile PCE>DPI lower bound.
2002,STRONG_HARD_LOWER_BOUND,0.11059311738411609,0.11059311738411609,0.11059311738411609,Assumption-free same-decile PCE>DPI lower bound.
2003,STRONG_HARD_LOWER_BOUND,0.13451046345638343,0.13451046345638343,0.13451046345638343,Assumption-free same-decile PCE>DPI lower bound.
2004,STRONG_HARD_LOWER_BOUND,0.09922558540128962,0.09922558540128962,0.09922558540128962,Assumption-free same-decile PCE>DPI lower bound.
2005,STRONG_HARD_LOWER_BOUND,0.11305311743790097,0.11305311743790097,0.11305311743790097,Assumption-free same-decile PCE>DPI lower bound.
2006,STRONG_HARD_LOWER_BOUND,0.11713497117677235,0.11713497117677235,0.11713497117677235,Assumption-free same-decile PCE>DPI lower bound.
2007,STRONG_HARD_LOWER_BOUND,0.10769985400021961,0.10769985400021961,0.10769985400021961,Assumption-free same-decile PCE>DPI lower bound.
2008,STRONG_HARD_LOWER_BOUND,0.1047081635171063,0.1047081635171063,0.1047081635171063,Assumption-free same-decile PCE>DPI lower bound.
2009,STRONG_HARD_LOWER_BOUND,0.08284052523348989,0.08284052523348989,0.08284052523348989,Assumption-free same-decile PCE>DPI lower bound.
2010,STRONG_HARD_LOWER_BOUND,0.08179553831969168,0.08179553831969168,0.08179553831969168,Assumption-free same-decile PCE>DPI lower bound.
2011,STRONG_HARD_LOWER_BOUND,0.09463374755230707,0.09463374755230707,0.09463374755230707,Assumption-free same-decile PCE>DPI lower bound.
2012,STRONG_HARD_LOWER_BOUND,0.09042747821427184,0.09042747821427184,0.09042747821427184,Assumption-free same-decile PCE>DPI lower bound.
2013,STRONG_HARD_LOWER_BOUND,0.09315413106338738,0.09315413106338738,0.09315413106338738,Assumption-free same-decile PCE>DPI lower bound.
2014,STRONG_HARD_LOWER_BOUND,0.0993285187945547,0.0993285187945547,0.0993285187945547,Assumption-free same-decile PCE>DPI lower bound.
2015,STRONG_HARD_LOWER_BOUND,0.09021257368409498,0.09021257368409498,0.09021257368409498,Assumption-free same-decile PCE>DPI lower bound.
2016,STRONG_HARD_LOWER_BOUND,0.09074778126559206,0.09074778126559206,0.09074778126559206,Assumption-free same-decile PCE>DPI lower bound.
2017,STRONG_HARD_LOWER_BOUND,0.09577517995760922,0.09577517995760922,0.09577517995760922,Assumption-free same-decile PCE>DPI lower bound.
2018,STRONG_HARD_LOWER_BOUND,0.09948763782398141,0.09948763782398141,0.09948763782398141,Assumption-free same-decile PCE>DPI lower bound.
2019,STRONG_HARD_LOWER_BOUND,0.09303400579323069,0.09303400579323069,0.09303400579323069,Assumption-free same-decile PCE>DPI lower bound.
2020,STRONG_HARD_LOWER_BOUND,0.059398958353096054,0.059398958353096054,0.059398958353096054,Assumption-free same-decile PCE>DPI lower bound.
2021,STRONG_HARD_LOWER_BOUND,0.07544016960666015,0.07544016960666015,0.07544016960666015,Assumption-free same-decile PCE>DPI lower bound.
2022,STRONG_HARD_LOWER_BOUND,0.11215388493901463,0.11215388493901463,0.11215388493901463,Assumption-free same-decile PCE>DPI lower bound.
2023,STRONG_HARD_LOWER_BOUND,0.10620150797928124,0.10620150797928124,0.10620150797928124,Assumption-free same-decile PCE>DPI lower bound.
2024,WEAK_ESTIMATE,0.0964266728475508,0.08552948951021482,0.10747200744237746,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
2025,WEAK_ESTIMATE,0.10074481792002235,0.08963214505089233,0.11195094984110589,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
